DateTime,AddedIPs,RemovedIPs
1454197248,125,110
1454284379,136,133
1454371546,141,153
1454502265,195,197
1454589399,119,132
1454676526,109,164
1454763643,102,170
1454850755,92,131
1454937867,114,98
1455025023,63,132
1455112056,48,115
1455199237,69,132
1455286367,71,143
1455373468,83,103
1455460593,76,121
1455547659,65,150
1455634832,104,145
1455721955,124,136
1455809071,183,158
1455896192,299,128
1455983332,188,147
1456070428,227,129
1456157553,138,117
1456244674,174,176
1456331789,160,134
1456418913,178,152
1456506052,180,126
1456593159,314,149
1456680283,266,105
1456767396,285,106
1456854514,216,131
1456941674,183,147
1457028793,204,140
1457115869,104,130
1457203026,196,114
1457290119,174,115
1457377276,140,104
1457464358,141,91
1457551480,186,108
1457638598,190,62
1457725698,180,50
1457812843,223,75
1457899966,253,62
1457987109,432,90
1458074195,416,68
1458161325,452,71
1458248457,409,99
1458335818,414,109
1458422949,463,183
1458510071,418,239
1458597176,287,122
1458684290,300,167
1458771427,338,131
1458858536,225,142
1458945673,306,165
1459032829,228,112
1459120149,322,201
1459207257,241,229
1459294395,236,260
1459381495,202,244
1459468613,265,212
1459555761,250,197
1459642868,351,131
1459729980,304,115
1459817095,313,176
1459904227,322,153
1459991333,256,133
1460078471,257,136
1460165605,185,185
1460252687,285,155
1460339809,231,192
1460426935,155,204
1460514279,243,266
1460601418,213,461
1460688532,178,425
1460775715,261,431
1460862791,266,362
1460949910,258,446
1461037008,209,433
1461124140,157,358
1461211264,216,296
1461298389,187,311
1461385488,222,317
1461472634,251,232
1461559996,301,316
1461647082,282,258
1461734214,233,302
1461821348,170,257
1461952145,293,377
1462039256,275,238
1462126392,302,232
1462220903,248,376
1462308050,206,327
1462395165,254,330
1462482328,213,353
1462569403,226,297
1462656536,240,283
1462743645,328,166
1462830770,189,318
1462917877,226,257
1463005012,214,176
1463092183,213,236
1463179262,219,228
1463266385,312,188
1463353483,303,248
1463440600,197,265
1463527735,215,305
1463614857,177,226
1463702013,159,161
1463789083,202,229
1463876215,225,204
1463963331,251,207
1464050439,235,244
1464137576,245,337
1464224683,192,302
1464311821,215,243
1464398940,212,163
1464486045,285,196
1464573193,267,225
1464660284,205,275
1464747429,186,288
1464834524,230,199
1464921647,221,227
1465008782,233,238
1465095879,259,204
1465183017,235,223
1465270152,196,310
1465357247,170,267
1465444379,214,192
1465531482,254,217
1465618605,249,213
1465705761,233,203
1465792876,191,227
1465879973,195,311
1465967084,161,286
1466054227,187,181
1466141331,214,197
1466228462,255,171
1466315600,318,168
1466402695,228,230
1466489829,224,216
1466576928,264,230
1466664070,219,222
1466751168,197,227
1466838288,280,188
1466925421,300,188
1467012531,205,244
1467099653,201,295
1467186771,209,218
1467273891,241,180
1467361022,243,232
1467448139,238,197
1467535297,320,204
1467622373,225,217
1467709492,224,300
1467796621,233,200
1467883751,315,187
1467970855,279,162
1468057991,256,227
1468145093,293,280
1468232210,219,236
1468319336,199,214
1468406465,200,172
1468493591,171,199
1468580699,228,157
1468667815,354,184
1468754939,238,229
1468842061,186,262
1468929179,226,313
1469016293,192,214
1469103426,217,252
1469190538,187,253
1469277655,222,224
1469364774,267,220
1469451894,199,284
1469539021,191,300
1469626139,205,182
1469713287,168,231
1469800391,208,230
1469887485,228,224
1469974606,273,246
1470061745,208,289
1470148859,203,294
1470235976,179,209
1470323096,419,242
1470410216,227,303
1470497337,221,256
1470584479,223,305
1470671585,202,255
1470758682,195,294
1470845823,188,227
1470932957,218,216
1471020055,252,219
1471107183,270,179
1471194290,292,251
1471281425,235,371
1471368536,316,221
1471455656,307,183
1471542777,266,227
1471629891,329,191
1471717258,372,214
1471804379,418,208
1471891485,411,222
1471978641,409,225
1472065733,326,179
1472152865,237,223
1472239982,240,196
1472327102,246,161
1472414215,236,209
1472501347,180,241
1472588476,160,257
1472675578,198,233
1472762688,133,180
1472849803,119,206
1472936946,222,407
1473024059,275,222
1473111178,191,180
1473198289,208,245
1473285426,192,212
1473372532,169,193
1473459650,280,191
1473546783,209,210
1473633887,298,246
1473764943,217,407
1473852055,188,230
1473939198,251,300
1474026285,278,299
1474113410,255,271
1474200546,271,302
1474287658,243,345
1474374767,225,416
1474461883,256,409
1474549018,232,435
1474636124,237,330
1474723249,241,267
1474810374,318,207
1474897488,216,263
1474984608,276,227
1475071740,259,193
1475159094,265,173
1475246220,239,206
1475333326,292,153
1475420500,272,101
1475507574,175,216
1475594943,220,265
1475682041,244,187
1475769155,205,200
